N,smina,gnina,best,annotation,prefix,model
1.0,28.201176566398676,32.727551066749086,74.79001756068948,,nc,default2018
2.0,36.78287727042567,46.02357759506835,74.79001756068948,,nc,default2018
3.0,42.380985159676655,51.19771746425442,74.79001756068948,,nc,default2018
4.0,45.07630407695096,55.085084953966295,74.79001756068948,,nc,default2018
5.0,48.09237926520522,58.06584934067,74.79001756068948,,nc,default2018
6.0,50.264706619458224,60.00652759340001,74.79001756068948,,nc,default2018
7.0,51.823790236246886,61.70417560908479,74.79001756068948,,nc,default2018
8.0,53.401534232407826,62.6571403056946,74.79001756068948,,nc,default2018
9.0,54.55383462676784,63.54940781876317,74.79001756068948,,nc,default2018
10.0,55.81074577562224,64.56081710058685,74.79001756068948,,nc,default2018
